hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
32,2,0.0005,0.2,60,256,98622.59154001597,-0.01377408459984028,223,0.4080717488789238,-0.016388933951960727,0.8404503087397205,29.9
32,2,0.001,0.2,60,256,98823.69464667895,-0.011763053533210477,217,0.42857142857142855,-0.013997361095685057,0.8403765147443866,22.2
128,2,0.0001,0.2,40,256,98941.92053892999,-0.010580794610700104,192,0.3958333333333333,-0.012592462592187492,0.8402482463807001,31.7
64,2,0.0001,0.4,40,256,99188.4690227482,-0.00811530977251794,188,0.425531914893617,-0.009660134268697607,0.8400825026640192,54.5
128,3,0.0005,0.3,60,256,97270.9434030578,-0.027290565969422025,228,0.3991228070175439,-0.03267033033435618,0.8353318038147663,26.5
32,2,0.0001,0.3,40,256,99049.87147964502,-0.009501285203549778,155,0.41935483870967744,-0.011389046637567457,0.8342476333540698,61.1
64,2,0.001,0.2,20,128,98592.61923016081,-0.014073807698391902,192,0.4270833333333333,-0.016888986193550837,0.8333127599906542,23.4
32,3,0.001,0.4,20,256,98585.1803201479,-0.014148196798520949,190,0.4,-0.01697956748911833,0.8332483620438556,22.9
32,3,0.0005,0.3,40,128,97780.48285654865,-0.022195171434513467,181,0.35911602209944754,-0.026743161944242644,0.8299381905845175,38.5
128,2,0.0001,0.3,40,256,99064.59802299865,-0.009354019770013548,191,0.4031413612565445,-0.011368182006366911,0.8228245962964611,32.8
64,2,0.0001,0.4,20,128,98629.37540583052,-0.013706245941694797,167,0.41317365269461076,-0.016756780862970166,0.8179522101398027,59.2
32,2,0.001,0.3,40,256,98853.09463576689,-0.011469053642331127,215,0.4186046511627907,-0.014052949966381734,0.8161313937477932,20.9
32,3,0.0001,0.3,20,128,98553.31946941106,-0.01446680530588943,182,0.3956043956043956,-0.0177623403973457,0.8144650413326875,73.0
32,2,0.0001,0.3,20,256,99160.07065781509,-0.008399293421849143,135,0.4148148148148148,-0.010357477505016033,0.810940059274224,61.4
32,2,0.0001,0.3,60,128,98852.3486096352,-0.011476513903648011,157,0.3503184713375796,-0.014173828954644807,0.8096975023737056,71.5
128,2,0.0001,0.4,40,256,99045.41959228765,-0.009545804077123467,203,0.4187192118226601,-0.011812513070219244,0.808109503911541,35.0
64,2,0.0001,0.2,40,128,98725.07069744667,-0.012749293025533261,166,0.42771084337349397,-0.015802787732650092,0.8067749337157764,59.2
32,3,0.0005,0.2,60,128,98281.73176121982,-0.01718268238780176,206,0.46601941747572817,-0.021318193419664788,0.8060102490650891,40.7
64,2,0.0001,0.3,20,128,98745.14619106305,-0.01254853808936954,167,0.41916167664670656,-0.015602653716917825,0.8042566551203573,55.8
32,2,0.0001,0.3,60,256,99119.30149221372,-0.008806985077862773,165,0.44242424242424244,-0.010952600196905138,0.8040999323933463,70.0
64,2,0.0005,0.4,60,256,99251.64795819038,-0.007483520418096159,220,0.4681818181818182,-0.009331355595488255,0.8019756981198389,23.8
64,3,0.0005,0.2,20,128,100947.35860474806,0.00947358604748064,194,0.5103092783505154,-0.01182182719273106,0.8013639425642853,32.2
32,3,0.0001,0.4,20,128,98567.63733380829,-0.014323626661917077,183,0.39344262295081966,-0.01793800120473288,0.7985073976992397,75.2
32,2,0.0001,0.4,60,128,99055.71920217336,-0.009442807978266356,150,0.36,-0.011832288907590471,0.7980542101375456,70.8
128,2,0.0005,0.4,20,256,98656.86309134004,-0.013431369086599589,210,0.3952380952380952,-0.016832469693496943,0.797944052843812,15.5
64,2,0.001,0.2,60,256,97614.71549027314,-0.023852845097268583,230,0.46956521739130436,-0.029899977223635132,0.7977546243217051,20.5
32,2,0.0001,0.2,20,256,99154.3945786641,-0.00845605421335902,137,0.40875912408759124,-0.010686193844393399,0.7913064592025495,60.9
64,3,0.0001,0.4,60,256,98845.84352624246,-0.01154156473757539,160,0.40625,-0.014588498358622415,0.7911413809601481,60.9
32,3,0.0005,0.2,20,128,98783.21089429146,-0.012167891057085363,176,0.4659090909090909,-0.015393437880830585,0.7904596199552025,39.6
32,2,0.0001,0.4,20,256,99152.1868028331,-0.008478131971669063,133,0.41353383458646614,-0.010747800655703132,0.788824825027834,62.4
128,2,0.0005,0.4,40,128,100825.00157848059,0.008250015784805874,189,0.48148148148148145,-0.010463154261740604,0.7884826676954143,22.2
32,3,0.0005,0.4,20,128,98475.26080265363,-0.015247391973463673,165,0.45454545454545453,-0.01935000005473364,0.7879789111284092,41.3
32,3,0.001,0.4,40,256,98668.65886539513,-0.01331341134604867,207,0.4106280193236715,-0.01689748302350169,0.7878931629954501,24.7
32,2,0.001,0.3,60,256,99240.56438612811,-0.007594356138718867,215,0.4511627906976744,-0.009720124961680954,0.781302315418539,21.5
64,2,0.0005,0.2,20,256,98842.83779495946,-0.011571622050405421,217,0.423963133640553,-0.01485254043184947,0.7791005251594186,25.0
32,3,0.001,0.2,40,128,98923.97723139531,-0.010760227686046855,186,0.489247311827957,-0.013819874427741463,0.7786053152876126,31.1
64,3,0.001,0.3,40,256,98804.72541485209,-0.011952745851479122,199,0.40703517587939697,-0.015398908516160548,0.776207342159036,20.9
64,2,0.0005,0.2,40,128,99000.72453590175,-0.009992754640982458,188,0.4095744680851064,-0.012937194585008971,0.7724050662855149,28.7
128,3,0.0005,0.3,20,128,100806.03299491119,0.00806032994911191,211,0.5023696682464455,-0.010463154261740604,0.7703537334420443,25.7
128,3,0.0005,0.2,60,128,98934.24376702371,-0.010657562329762877,196,0.413265306122449,-0.013854528043549474,0.7692475915644725,27.9
32,3,0.0005,0.2,40,128,98956.17371368832,-0.010438262863116833,175,0.42857142857142855,-0.01364788865258082,0.7648262034393837,40.2
64,3,0.001,0.4,60,256,98873.8681797716,-0.011261318202284019,187,0.48128342245989303,-0.014724928350669741,0.7647791509811872,20.5
64,2,0.001,0.3,20,128,98954.80388450842,-0.01045196115491577,202,0.47029702970297027,-0.013666965492288963,0.7647609237626941,23.4
64,2,0.0001,0.3,40,256,99270.93915199733,-0.0072906084800267125,197,0.4416243654822335,-0.009535027805516072,0.7646132374998478,53.7
32,3,0.001,0.4,60,256,99020.67326111515,-0.009793267388848472,210,0.46190476190476193,-0.01284763392462085,0.7622623314383924,22.3
64,2,0.0001,0.4,40,128,99018.38356013621,-0.00981616439863792,170,0.4235294117647059,-0.01287873105948878,0.7621996571941438,69.5
128,3,0.0005,0.2,60,256,98145.54301605387,-0.018544569839461327,232,0.4396551724137931,-0.024420044176468036,0.7593995205517068,26.0
32,2,0.001,0.4,60,256,99257.72741729616,-0.007422725827038375,204,0.45098039215686275,-0.009799308453621092,0.7574744546688384,22.5
32,2,0.0001,0.2,40,256,99390.00558968756,-0.006099944103124435,148,0.4527027027027027,-0.008063507696641659,0.7564876642537315,58.4
64,2,0.0005,0.2,20,128,99024.15662860428,-0.009758433713957201,188,0.39361702127659576,-0.012909438807302331,0.7559146342161103,30.8
32,3,0.0005,0.3,60,256,98776.79680406525,-0.012232031959347514,221,0.4298642533936652,-0.01619875120225467,0.7551219107337709,31.8
32,2,0.0005,0.3,20,128,99095.75736979562,-0.00904242630204375,185,0.4486486486486487,-0.01198969267459804,0.7541833262500118,38.3
128,2,0.0001,0.3,60,128,99101.66966814589,-0.008983303318541148,217,0.4470046082949309,-0.011930745532307774,0.7529540626120035,44.8
32,3,0.001,0.4,20,128,98717.60126286533,-0.012823987371346738,201,0.43781094527363185,-0.017034565059128037,0.752821532386291,31.8
32,3,0.0005,0.4,60,128,98987.88998202063,-0.01012110017979372,213,0.43661971830985913,-0.013479640629017187,0.7508434726372716,44.4
32,3,0.0001,0.2,20,128,98753.1501659444,-0.012468498340555962,170,0.3941176470588235,-0.016640046909833783,0.7493066821336568,75.9
128,3,0.0001,0.4,60,256,98786.62591062828,-0.012133740893717186,231,0.45454545454545453,-0.016217342078438057,0.748195409274232,63.4
32,2,0.0005,0.2,20,128,99144.16353023447,-0.008558364697655342,185,0.4702702702702703,-0.01150707074686863,0.7437483340392509,37.2
64,3,0.0005,0.2,40,128,99137.44310447967,-0.008625568955203344,192,0.4479166666666667,-0.011691818041256963,0.7377440296082496,34.5
128,3,0.0001,0.2,60,256,98774.0691342216,-0.012259308657783985,228,0.45614035087719296,-0.0166276317093631,0.7372853135110462,55.8
32,3,0.0005,0.2,60,256,98580.1821237388,-0.014198178762611932,211,0.4028436018957346,-0.019262032156556974,0.7371070013388354,33.6
64,2,0.0001,0.3,40,128,99082.87532037405,-0.00917124679625951,167,0.4311377245508982,-0.012478977257265877,0.7349357729552362,61.0
64,2,0.0005,0.3,60,128,98934.3048291643,-0.010656951708356937,223,0.4618834080717489,-0.014665023525931242,0.7266917567171247,36.9
32,2,0.001,0.4,20,128,98482.83626815357,-0.015171637318464345,215,0.44651162790697674,-0.020912042924944862,0.7254976174693534,30.8
64,3,0.0005,0.4,40,128,99192.42098166526,-0.008075790183347416,182,0.46153846153846156,-0.011143739695197774,0.724693002908849,34.6
32,3,0.001,0.3,20,128,98606.32482581596,-0.013936751741840416,190,0.45789473684210524,-0.019304229231668746,0.7219532867428378,33.2
32,3,0.0005,0.4,40,256,98690.49844587939,-0.013095015541206085,195,0.40512820512820513,-0.018145669572145695,0.7216606413525484,32.2
64,2,0.0001,0.3,60,128,99223.4324729395,-0.007765675270604989,171,0.4152046783625731,-0.010834583945348752,0.7167488211615883,62.2
64,3,0.0001,0.2,60,256,99157.39768096077,-0.008426023190392297,161,0.4720496894409938,-0.011783118416760607,0.715092804160137,56.0
32,3,0.0001,0.2,20,256,98825.001509206,-0.011749984907939943,202,0.4207920792079208,-0.016644342660926514,0.7059446652419421,50.0
64,3,0.001,0.2,60,256,99176.34014766106,-0.008236598523389402,214,0.4719626168224299,-0.01170657532693431,0.7035873680698712,20.7
32,2,0.0001,0.3,40,128,99258.08133621998,-0.007419186637800158,126,0.36507936507936506,-0.01054598754040692,0.703508003339997,67.9
64,2,0.0005,0.3,40,256,99294.41424339257,-0.007055857566074264,209,0.4449760765550239,-0.010036982183396215,0.7029859610338347,24.7
64,3,0.0005,0.4,60,256,98984.3943569773,-0.010156056430227036,218,0.4724770642201835,-0.014450669820087136,0.7028086972210535,25.2
32,2,0.0001,0.2,60,128,99067.64174623777,-0.009323582537622279,161,0.391304347826087,-0.0133747915750414,0.6971011462355008,70.5
64,3,0.0005,0.4,40,256,98664.775369544,-0.013352246304559959,189,0.4656084656084656,-0.019199691171809974,0.6954406810545187,23.1
32,2,0.001,0.2,40,256,99335.91895347546,-0.006640810465245449,218,0.44036697247706424,-0.009556292870737892,0.6949149168062989,20.3
128,3,0.001,0.4,20,256,97711.0300542614,-0.022889699457386014,256,0.4375,-0.03308161219830663,0.6919160807573242,17.0
64,2,0.0005,0.3,40,128,99239.66273244402,-0.007603372675559804,188,0.4095744680851064,-0.011054873522852948,0.6877846824608076,29.3
64,3,0.001,0.2,40,256,98825.46122802063,-0.011745387719793653,211,0.44075829383886256,-0.01713706805045412,0.6853790674818736,19.3
64,2,0.0001,0.3,20,256,99309.9697332376,-0.0069003026676240555,170,0.43529411764705883,-0.010133730797966534,0.6809242129274533,52.1
64,2,0.0005,0.2,40,256,98761.53073861111,-0.01238469261388891,212,0.3915094339622642,-0.01820175549957359,0.6804119863152235,23.7
64,3,0.0005,0.2,20,256,98551.97334572054,-0.014480266542794561,212,0.4481132075471698,-0.021387473513831412,0.6770442770358118,24.2
64,3,0.001,0.3,20,128,99013.56302100993,-0.009864369789900665,203,0.42857142857142855,-0.014844277860731947,0.6645233862130272,29.8
32,3,0.0005,0.4,20,256,99074.0336938723,-0.009259663061276952,179,0.4134078212290503,-0.013985170046806439,0.6621058614436675,27.8
32,2,0.0001,0.2,40,128,99332.6339296986,-0.0066736607030140295,125,0.384,-0.01014309538647773,0.6579510936977899,65.1
32,3,0.0001,0.4,40,256,98607.50419950213,-0.013924958004978689,250,0.404,-0.02124505458359116,0.655444680087279,46.9
64,3,0.0005,0.3,20,128,99240.0861066266,-0.007599138933734066,185,0.4810810810810811,-0.011646589788553707,0.6524775983097229,32.4
32,2,0.001,0.4,20,256,99401.76547405255,-0.005982345259474532,192,0.4427083333333333,-0.009251047514860167,0.6466667963671093,24.1
32,2,0.0001,0.4,20,128,99426.6819866274,-0.005733180133725983,133,0.40601503759398494,-0.00890908529307921,0.6435206247469258,73.0
32,3,0.0001,0.3,40,256,98694.8217151429,-0.01305178284857102,250,0.408,-0.020378361415067436,0.6404726357890944,46.4
32,2,0.0005,0.2,40,128,100737.99962499207,0.0073799962499206595,170,0.4588235294117647,-0.01154334219130082,0.639329245171498,38.0
32,2,0.0001,0.4,40,256,99414.27262519124,-0.00585727374808761,154,0.45454545454545453,-0.009287385996889275,0.6306697869615251,64.0
32,3,0.0001,0.2,40,256,98750.18546319044,-0.012498145368095575,254,0.4094488188976378,-0.019828833844744764,0.6303015833383444,44.3
64,3,0.001,0.3,60,256,99231.74886839339,-0.007682511316066084,219,0.4794520547945205,-0.012202004289026736,0.6296106061014065,19.8
