hidden_sizes,learning_rate,dropout,batch_size,final_equity,total_return_pct,trades,hit_rate,max_drawdown,RoverMDD,time_s
"[256, 128, 64, 128, 256]",0.0001,0.3,256,99701.20081649534,-0.0029879918350465594,183,0.46994535519125685,-0.009090932591499956,0.3286782522004771,58.7
"[64, 32, 64]",0.0001,0.2,256,100177.88690027264,0.0017788690027264239,195,0.47692307692307695,-0.005641455292122677,0.3153209430216187,49.7
"[256, 128, 256]",0.0001,0.4,256,100194.05208631704,0.0019405208631703863,191,0.4869109947643979,-0.00618546758426608,0.3137225822840738,40.7
"[128, 64, 128]",0.001,0.3,128,100299.8837432168,0.0029988374321679293,223,0.5067264573991032,-0.00965830807611845,0.31049303962284913,38.5
"[128, 64, 128]",0.0005,0.3,256,100308.66470925877,0.0030866470925876638,217,0.511520737327189,-0.010049374551551526,0.3071481788994635,32.2
"[256, 128, 64, 128, 256]",0.001,0.2,256,100398.33936718473,0.003983393671847297,240,0.49583333333333335,-0.013078605050644843,0.30457328258038463,26.3
"[256, 128, 256]",0.001,0.2,64,99577.11489775362,-0.0042288510224637865,230,0.4956521739130435,-0.014064392532294523,0.3006778296861055,58.5
"[256, 128, 64, 128, 256]",0.0001,0.2,64,99774.26804853963,-0.0022573195146037323,184,0.483695652173913,-0.00755699293934986,0.2987060505045189,131.1
"[64, 32, 64]",0.001,0.2,64,99711.91850242346,-0.0028808149757653884,208,0.47596153846153844,-0.00989091321673985,0.2912587455412874,61.2
"[128, 64, 128]",0.0005,0.4,64,99772.37281974404,-0.0022762718025596406,206,0.46601941747572817,-0.007930548386972047,0.28702577570789417,81.7
"[64, 32, 64]",0.0005,0.3,256,100145.98146582473,0.0014598146582473419,192,0.4895833333333333,-0.005269859954211031,0.27701204034479804,31.0
"[64, 32, 64]",0.001,0.4,64,100109.47794263094,0.0010947794263093966,187,0.5133689839572193,-0.0039629606692695996,0.27625291232354615,80.3
"[256, 128, 256]",0.0001,0.2,256,99644.13711444678,-0.0035586288555321515,198,0.4898989898989899,-0.012996350859773131,0.2738175426262901,34.3
"[64, 32, 64]",0.001,0.2,128,100159.75423896132,0.001597542389613227,219,0.5068493150684932,-0.005846271426124816,0.2732583339313333,36.0
