hidden_sizes,learning_rate,dropout,batch_size,val_loss,val_acc,time_s
"[256, 128, 64, 128, 256]",0.001,0.2,64,0.9939333995183309,0.4605263157894737,4.6
"[128, 64, 32, 64, 128]",0.0005,0.4,128,0.9944367110729218,0.4407894736842105,7.2
"[128, 64, 32, 64, 128]",0.0005,0.2,64,0.9947087566057841,0.4407894736842105,6.4
"[256, 128, 256]",0.0001,0.3,64,0.9947798053423563,0.39473684210526316,6.5
"[128, 64, 128]",0.0005,0.3,64,0.9950503706932068,0.40789473684210525,4.3
"[256, 128, 64, 128, 256]",0.0001,0.2,64,0.9959467649459839,0.42105263157894735,6.7
"[128, 64, 128]",0.0001,0.2,64,0.9960439403851827,0.4342105263157895,7.8
"[256, 128, 256]",0.001,0.4,64,0.9969571630160013,0.45394736842105265,2.9
"[128, 64, 128]",0.001,0.2,64,0.9969778855641683,0.42105263157894735,4.1
"[128, 64, 128]",0.0005,0.2,64,0.9971585075060526,0.4342105263157895,4.0
"[256, 128, 64, 128, 256]",0.001,0.4,64,0.9982717831929525,0.4407894736842105,5.8
"[128, 64, 128]",0.001,0.4,64,0.9989985227584839,0.40789473684210525,4.4
"[256, 128, 256]",0.0001,0.4,64,1.0007167061169941,0.4342105263157895,6.4
"[256, 128, 256]",0.0005,0.3,64,1.0015783905982971,0.4276315789473684,4.3
"[128, 64, 128]",0.0005,0.4,64,1.0019671718279521,0.4407894736842105,5.7
"[256, 128, 64, 128, 256]",0.0001,0.4,64,1.0034270286560059,0.40789473684210525,13.5
"[64, 32, 64]",0.001,0.4,128,1.0036516785621643,0.45394736842105265,5.1
"[256, 128, 256]",0.0005,0.2,64,1.0039483904838562,0.3815789473684211,2.9
"[256, 128, 64, 128, 256]",0.001,0.3,256,1.0042119026184082,0.4473684210526316,1.5
"[128, 64, 32, 64, 128]",0.0005,0.3,64,1.0044001340866089,0.4342105263157895,6.7
"[256, 128, 256]",0.0005,0.4,64,1.004789650440216,0.42105263157894735,3.2
"[256, 128, 256]",0.0001,0.2,64,1.0053162376085918,0.4276315789473684,6.4
