hidden_size,num_layers,learning_rate,dropout,seq_len,batch_size,val_loss,val_acc,time_s
32,3,0.001,0.3,60,128,0.9613330066204071,0.3815789473684211,3.0
64,3,0.0005,0.3,60,128,0.9613868296146393,0.4342105263157895,2.8
32,3,0.001,0.4,40,256,0.961473822593689,0.4473684210526316,2.3
128,1,0.0001,0.4,60,128,0.9616300165653229,0.4407894736842105,5.5
128,3,0.0005,0.4,60,128,0.9616371095180511,0.4342105263157895,1.9
64,3,0.001,0.4,20,128,0.9616951048374176,0.4276315789473684,1.9
64,3,0.0005,0.3,40,128,0.9617440104484558,0.4342105263157895,3.5
32,1,0.0005,0.2,60,128,0.9622261226177216,0.48026315789473684,2.8
64,2,0.0005,0.4,40,256,0.9626783728599548,0.48026315789473684,2.3
32,1,0.001,0.2,60,128,0.9629357159137726,0.4605263157894737,1.8
128,3,0.0005,0.3,60,128,0.962969183921814,0.4276315789473684,1.7
64,3,0.001,0.3,40,256,0.9632528424263,0.4934210526315789,1.8
128,1,0.0001,0.3,60,128,0.9633407294750214,0.4276315789473684,5.4
64,3,0.0005,0.2,40,256,0.9636598825454712,0.5,2.3
128,1,0.0001,0.2,60,128,0.9638860821723938,0.4276315789473684,5.6
32,1,0.001,0.4,60,128,0.963974118232727,0.4473684210526316,1.9
128,2,0.001,0.4,60,128,0.9640396237373352,0.45394736842105265,1.4
32,1,0.0005,0.3,60,128,0.964226633310318,0.4605263157894737,2.9
64,3,0.001,0.2,20,128,0.9645960330963135,0.4473684210526316,2.4
128,2,0.0005,0.4,60,128,0.964742511510849,0.4342105263157895,1.7
64,3,0.0005,0.4,60,128,0.9649052023887634,0.45394736842105265,2.8
64,3,0.001,0.4,60,128,0.9650266468524933,0.42105263157894735,2.0
64,3,0.001,0.4,40,128,0.9651822149753571,0.39473684210526316,2.2
64,3,0.001,0.3,60,256,0.9654701352119446,0.4276315789473684,1.5
64,1,0.0001,0.4,60,128,0.9656776487827301,0.40789473684210525,7.2
32,1,0.001,0.3,60,128,0.9658517837524414,0.4605263157894737,1.9
128,1,0.0005,0.4,60,128,0.9660750329494476,0.40131578947368424,2.1
64,3,0.0005,0.4,40,256,0.9662317037582397,0.5,2.7
64,3,0.001,0.3,60,128,0.9662937521934509,0.3881578947368421,2.2
64,1,0.0001,0.3,60,128,0.9664634466171265,0.3881578947368421,7.2
64,2,0.0005,0.2,40,256,0.966890275478363,0.40131578947368424,2.4
64,3,0.001,0.2,60,256,0.9672121405601501,0.48026315789473684,1.5
64,1,0.0001,0.2,60,128,0.9674631357192993,0.40789473684210525,7.1
64,3,0.001,0.2,60,128,0.9674758911132812,0.42105263157894735,1.9
64,2,0.0001,0.3,40,128,0.967521071434021,0.40131578947368424,8.4
64,3,0.0005,0.2,40,128,0.9684244096279144,0.4605263157894737,2.8
32,1,0.0005,0.4,60,128,0.968424528837204,0.40131578947368424,3.0
32,2,0.001,0.2,20,256,0.9688819646835327,0.3881578947368421,2.2
128,3,0.001,0.2,60,128,0.9689283668994904,0.45394736842105265,1.6
32,2,0.0005,0.3,40,256,0.9689456820487976,0.40131578947368424,3.3
64,2,0.0005,0.4,60,128,0.9696033298969269,0.375,2.2
32,3,0.001,0.2,40,256,0.9696837067604065,0.4144736842105263,2.1
128,2,0.001,0.2,60,128,0.9697750210762024,0.4407894736842105,1.5
64,1,0.0005,0.4,60,128,0.969912052154541,0.34210526315789475,2.8
32,2,0.0005,0.2,20,256,0.970794677734375,0.4342105263157895,3.3
64,3,0.0001,0.2,40,256,0.9708101749420166,0.48026315789473684,5.6
64,1,0.001,0.2,20,256,0.9712199568748474,0.42105263157894735,1.5
32,2,0.001,0.3,20,256,0.9712227582931519,0.40789473684210525,2.2
32,2,0.0005,0.4,20,256,0.9715808033943176,0.3618421052631579,3.2
64,2,0.0005,0.3,60,128,0.9718440175056458,0.40131578947368424,2.5
64,3,0.0005,0.4,20,128,0.9719908833503723,0.4144736842105263,3.4
32,3,0.001,0.3,40,256,0.9722797870635986,0.4144736842105263,2.1
128,3,0.001,0.4,60,128,0.972408652305603,0.4605263157894737,1.6
64,3,0.0001,0.3,40,256,0.9724791646003723,0.4868421052631579,5.5
128,2,0.0005,0.3,60,128,0.9729787409305573,0.42105263157894735,1.8
64,1,0.001,0.3,40,128,0.9729789197444916,0.375,1.9
64,3,0.0001,0.3,20,256,0.9729827642440796,0.4342105263157895,5.3
64,1,0.001,0.4,40,128,0.9730067253112793,0.3881578947368421,1.9
32,3,0.0005,0.4,40,256,0.9731687903404236,0.42105263157894735,3.9
64,2,0.0005,0.2,60,128,0.9732135534286499,0.4144736842105263,2.5
32,1,0.0001,0.2,60,128,0.9733302295207977,0.46710526315789475,7.2
32,2,0.0005,0.3,20,256,0.9735991954803467,0.3881578947368421,3.2
128,2,0.0005,0.2,60,128,0.9737381637096405,0.42105263157894735,1.8
64,2,0.001,0.3,60,128,0.973867803812027,0.40131578947368424,1.6
64,3,0.0001,0.4,40,256,0.9738747477531433,0.4868421052631579,5.9
64,3,0.0001,0.4,20,256,0.9741873145103455,0.4342105263157895,5.5
64,3,0.0001,0.2,20,256,0.9742391705513,0.4605263157894737,5.5
32,2,0.001,0.3,40,256,0.9742811322212219,0.40131578947368424,1.9
64,2,0.001,0.4,60,128,0.9745466709136963,0.40131578947368424,1.7
32,2,0.0005,0.2,40,256,0.9752600789070129,0.3881578947368421,3.2
128,2,0.001,0.4,20,128,0.9757096469402313,0.4144736842105263,1.7
128,3,0.0001,0.3,60,256,0.9761726260185242,0.4144736842105263,4.0
32,3,0.0005,0.3,40,256,0.9763377904891968,0.3815789473684211,3.1
32,3,0.0001,0.2,60,128,0.9764304161071777,0.39473684210526316,9.2
32,3,0.0001,0.3,60,128,0.9764328598976135,0.3881578947368421,9.1
64,1,0.0005,0.3,60,128,0.9764742255210876,0.40131578947368424,2.2
128,3,0.0005,0.2,40,256,0.9766180515289307,0.4605263157894737,1.9
32,2,0.001,0.4,40,256,0.9767537713050842,0.34868421052631576,2.2
64,1,0.001,0.2,60,128,0.976902961730957,0.3881578947368421,1.6
32,1,0.0001,0.3,60,128,0.9769654273986816,0.45394736842105265,7.4
128,1,0.001,0.4,20,128,0.9771341681480408,0.32894736842105265,1.7
64,3,0.0001,0.2,20,128,0.977199524641037,0.3684210526315789,9.2
